Date,naive,rolling5,rolling50,ewma080,ewma030,har,garch11,ols,elastic_net_1,elastic_net_1e-3,gb_tree
2018-02-21,0.0030083640205987,0.0027125212170739,0.0038513984636179,0.010322592981068,0.0041052155632559,0.00374535729002,0.0029681678315084,0.0037605210265714,0.0039389861411166,0.0039389861411166,0.0044601456680583
2018-02-28,-0.0115560245112226,-0.0130310433844052,-0.0148753138348634,-0.024891181158461,-0.0151696580403108,-0.0125138279008164,-0.0124291378804526,-0.0127593554323352,-0.0116591290281377,-0.0116591290281377,-0.0118859020803151
2018-03-07,-0.0041390492469776,-0.0016426646766618,-0.0029703334405087,-0.0126911546979704,-0.0059423026380118,-0.0026823276018654,-0.0015077062215955,-0.001722390765593,-0.0025846219848615,-0.0025846219848615,-0.0022227713587647
2018-03-14,0.0198122419015378,0.0176000896786067,0.0162922025687257,0.0255796983526148,0.0199596941069505,0.0148397836080175,0.0133920218093961,0.0144470992321194,0.0136492788979286,0.0136492788979286,0.01500638235809
2018-03-21,-0.0094662072314691,-0.0109507794810026,-0.0115847831180164,-0.0221626849236799,-0.0112112516055552,-0.0109003007473779,-0.0112126325143545,-0.0107741540446641,-0.007705793094614,-0.007705793094614,-0.0098964086648409
2018-03-28,0.0031957182093547,0.004736895125613,0.003354358920365,0.0058346674108753,0.0030089255535577,0.0038021105559778,0.0050214408520835,0.0038025259073397,0.0037749338472928,0.0037749338472928,0.0023927268050465
2018-04-04,0.0049459051772559,0.0030710465891575,0.0013857575351684,0.0178935842889856,0.0067880579627854,0.0016728408136319,3.932996962122705e-05,0.0015683902396971,0.0008695957903674,0.0008695957903674,0.0021413937297184
2018-04-11,0.0215446119341924,0.0156213970337254,0.015703768791659,0.039375768933396,0.0215510229185658,0.0167267690783717,0.0159507540099186,0.0162212530186747,0.0152528755820855,0.0152528755820855,0.0154134415892944
2018-04-18,0.0172055100659989,0.0194429138894393,0.0110429155242699,0.027601490221871,0.0176151773599624,0.0108169666663056,0.009834581045025,0.0112296318695477,0.010105640756343,0.010105640756343,0.0117134111610514
2018-04-25,-0.0516648793831142,-0.0225886677865307,-0.013473680783838,-0.0741756655358856,-0.0260147953708188,-0.014787533607678,-0.0156195151472119,-0.0144310416800548,-0.0123066943867508,-0.0123066943867508,-0.0097045487287224
2018-05-02,0.0035842252302446,-0.0203921285880683,-0.0221299187826378,-0.0017585226472474,-0.0147210796779885,-0.0205245834255224,-0.0225650952769703,-0.0204306125929658,-0.0198088425353521,-0.0198088425353521,-0.0221363867096706
2018-05-09,-0.0173033033754413,-0.015238771397909,-0.0139555634749708,-0.0098278702683221,-0.0124266907624096,-0.0146469800131249,-0.0132451047276593,-0.0133889980875693,-0.0116078349677176,-0.0116078349677176,-0.014171403695777
2018-05-16,0.0042276002458292,0.0051410021567245,0.00380023757466,0.02127696557551,0.0075956126525514,0.0040108532213631,0.0038874698870148,0.0038159218301498,0.0030278909870098,0.0030278909870098,0.0018006213833004
2018-05-23,-0.0061460642119615,-0.0080029355997996,-0.001720317251806,-0.0193396631893247,-0.0077672661800176,0.0002185885094266,0.0008811746864406,-0.0013595493614513,5.534436372880152e-05,5.534436372880152e-05,-0.0017007830888459
2018-05-30,-0.0861096083237436,-0.0603899019142784,-0.0489505726342785,-0.1305962340581984,-0.070111783222903,-0.049216530068612,-0.0440002533256493,-0.0469738719980587,-0.0374388601204161,-0.0374388601204161,-0.0498420712405497
2018-06-06,0.0373665763742972,0.0424738845101923,0.033715116542971,0.0176402815280045,0.0252586724113095,0.0317945801966866,0.0310585563201684,0.0311151345261854,0.0271987798989553,0.0271987798989553,0.0310874063840603
2018-06-13,0.0037449059638593,0.0022983935125042,0.0022473805441941,0.0072946416199752,0.0031732242465456,0.002183405877853,0.001069490160757,0.0016767809083173,0.0008642796223702,0.0008642796223702,0.0016383966553255
2018-06-20,-0.0542595354893099,-0.0370057413402075,-0.0318105109459693,-0.0606815882919602,-0.04396025075883,-0.0321399174723637,-0.0298681015729639,-0.029881389811114,-0.0255120853632831,-0.0255120853632831,-0.0304358738224099
