Date,rolling50,har,garch11,ols,gb_tree
2018-02-21,1.0038588246293279,1.003752379905299,1.0029725772031521,1.0037676006573522,1.00447010692179
2018-02-28,0.9890366253144595,0.9912698603112922,0.9905836441195606,0.9910415339245102,0.9926017463983937
2018-03-07,0.9861032155117759,0.9886145126523168,0.989091260317187,0.9893360423212838,0.9903978699299789
2018-03-14,1.0023005960762945,1.003394734499069,1.0024262842139855,1.0037328237580727,1.0055621721182562
2018-03-21,0.9907561600573556,0.9925168240783463,0.9912492258911294,0.9929765008864464,0.9956597977158311
2018-03-28,0.9940850919155362,0.9962976658066158,0.9962392433020403,0.9967595076888627,0.9980449920237464
2018-04-04,0.9954636077460066,0.9979657080000465,0.9962784261317396,0.998324042151628,1.000184489247045
2018-04-11,1.0112195279527756,1.014798839427657,1.012297234636606,1.014650166139788,1.015720196234316
2018-04-18,1.0224482244422028,1.0258354684577675,1.0223018688891101,1.0261085301744028,1.0276876978185938
2018-04-25,1.0087644756911358,1.0107775014826008,1.006458067724499,1.0114070491867888,1.0177626892351397
2018-05-02,0.9866858004659237,0.9902431645349778,0.9840015649615863,0.9909530390403269,0.9954806327566371
2018-05-09,0.9730116810957617,0.9758447964116955,0.9710542944392646,0.9777735973397003,0.9814727648450815
2018-05-16,0.9767163915782764,0.9797666263415177,0.9748365857760942,0.9815118328258148,0.9844373912389529
2018-05-23,0.9750375739831955,0.9799808154767446,0.975695965675196,0.9801783257300015,0.9826472514798837
2018-05-30,0.9284582688060949,0.9329172134636515,0.9336958791142199,0.9352002225642401,0.9348706108103093
2018-06-06,0.9602950217588637,0.9630555029091444,0.9631501612228989,0.9647565431998076,0.9643897731994714
2018-06-13,0.9624555970154774,0.9651605411951061,0.9641807918700894,0.9663755855629406,0.9659711212622599
2018-06-20,0.9323212285991604,0.9346335561967712,0.9358083665152802,0.9379261117358658,0.9370138513340871
2018-06-27,0.9357023043778432,0.9380804108709925,0.93929365324401,0.9412829211710348,0.9401956445343324
2018-07-04,0.9368672080624122,0.9386984164260451,0.9398392114433933,0.9421911228233597,0.9408142089014893
2018-07-11,0.9488969235389608,0.9496149678351181,0.9500285167294068,0.9534078684704473,0.9512425167287261
2018-07-18,0.95565503454056,0.9558717640552877,0.9540939881034585,0.9584252041834788,0.9579859936361769
2018-07-25,0.9463985144665267,0.9478621330570527,0.9486738402687417,0.9511305578049446,0.951643828330478
2018-08-01,0.9459597458213425,0.9476252878589553,0.9484328954265916,0.9507316952367462,0.9510417707468342
2018-08-08,0.9344974445212688,0.9358674097249854,0.9372373307381036,0.9396458582659083,0.9399904211036351
2018-08-15,0.8988507412791442,0.9006969474875471,0.901759369695067,0.9024410719595306,0.9011694533918614
2018-08-22,0.9129560815238646,0.9172586362493756,0.9174810749299048,0.9171956893445427,0.9171322988699242
2018-08-29,0.9158645462903663,0.9212435286555718,0.9210704572338114,0.9197275707213013,0.9200093990701872
2018-09-05,0.8999122725707109,0.90578397820608,0.907051885352783,0.9052083443525069,0.9049838415136365
2018-09-12,0.9028612474636731,0.9086327292073992,0.9095822777222496,0.9075720831288567,0.9073130056359626
2018-09-19,0.9175007593864111,0.9240605659828435,0.9253454478024792,0.9228641601574439,0.9220694742279937
2018-09-26,0.9287971592261535,0.9346485074261157,0.9353647111651037,0.9331618803275896,0.9333334339697656
2018-10-03,0.9235947020601848,0.9269758622726371,0.9264975042612065,0.9266254493404331,0.9282746289348346
2018-10-10,0.9264153278377926,0.9297882222083741,0.9263034178426626,0.9283446784409403,0.9307111600425212
2018-10-17,0.9284025653365794,0.9319191595240133,0.9286336067895454,0.9307247269247959,0.9332082382987393
2018-10-24,0.9148882944080775,0.9184411614124364,0.9152682362909804,0.9174608284906582,0.9189501082269237
2018-10-31,0.9085229641892628,0.9109984869861983,0.9073637335934126,0.911149185293772,0.9103697192575637
2018-11-07,0.9384418696950237,0.9430326076937624,0.9370227091312986,0.9428261044157124,0.9405641205507571
2018-11-14,0.9319919192049615,0.9361698858331436,0.9305794974117484,0.9368796669141273,0.9334693777753481
2018-11-21,0.911253080666219,0.9179379637251966,0.9147387780003085,0.9171974490181717,0.9116157551452149
2018-11-28,0.9161404754387458,0.9215058330790754,0.9179935732070929,0.9214861139349521,0.9145617651150943
