,RMSE,MAE,QLIKE
gb_tree,0.0024473078962145146,0.0018003758811038766,0.12397081757725185
ols,0.002487392185478362,0.0018025258648649998,0.12582956822417493
har,0.0025129062639105315,0.0018206761895187475,0.12838342230450736
garch11,0.0025635236764698834,0.001971189213705631,0.13292274752585104
rolling50,0.002648923406997567,0.00192592350201301,0.14103969369657718
elastic_net_1,0.002855903389662444,0.002213996384067745,0.16821433527342886
elastic_net_1e-3,0.002855903389662444,0.002213996384067745,0.16821433527342886
ewma030,0.00282068350216742,0.002028724767642608,0.16879563534695297
rolling5,0.002901756542291357,0.002069711315769972,0.19318126977907144
naive,0.003072620608115998,0.002179441951836801,0.2511259428611697
ewma090,0.003828840836867445,0.0027537722188620425,0.6430832760565384
