,RMSE,MAE,QLIKE
naive,0.00234,0.00174,0.18785
rolling50,0.00187,0.00138,0.10055
rolling100,0.00188,0.0014,0.10354
ewma09,0.00311,0.00235,0.60618
ewma03,0.0022,0.00162,0.13665
garch,0.00202,0.00154,0.11777
